nome,cognome,phone,email,region,age,colore,festa_preferita
Porter,Vargas,1-269-346-1546,vargas.porter@google.edu,Basilicata,46,arancione,capOdanno
Zephania,Valdez,(451) 649-3376,z.valdez@hotmail.edu,Friuli-Venezia Giulia,48,rosso,nEssuna
Edan,Andrews,(141) 352-8562,e-andrews7168@hotmail.edu,Valle d'Aosta,49,verde,Pasqua
Kylie,Briggs,1-251-412-6038,kbriggs@hotmail.com,Lombardia,47,nero,capOdanno
Daniel,Foley,1-363-257-7597,d-foley@icloud.org,Molise,43,giallo,Pasqua
Courtney,Rosa,1-902-567-7350,rosacourtney2873@outlook.com,Basilicata,43,blu,Pasqua
Morgan,Britt,(783) 728-1742,b.morgan5051@hotmail.edu,Trentino-Alto Adige,30,grigio,Pasqua
Theodore,Key,1-821-602-4683,keytheodore@aol.org,Friuli-Venezia Giulia,39,rosa,nEssuna
Raymond,Gilmore,(566) 624-3546,raymond-gilmore@yahoo.com,Marche,25,viola,pasqueTTa
Tyler,Vasquez,(524) 356-2816,t_vasquez@yahoo.org,Abruzzo,40,rosa,Pasqua
Dieter,Porter,1-719-142-7534,dieter_porter6875@google.ca,Sardegna,28,marrone,pasqueTTa
Lee,Leblanc,1-435-742-1513,leblanc_lee@outlook.org,Calabria,25,giallo,NatalE
Indira,Roberts,(912) 771-7936,i.roberts@yahoo.couk,Trentino-Alto Adige,20,grigio,Pasqua
Ginger,Kelly,(680) 584-9736,kelly_ginger6940@icloud.couk,Lombardia,45,grigio,capOdanno
Lucy,Stuart,1-247-211-2341,stuart-lucy@protonmail.couk,Liguria,42,rosso,pasqueTTa
Eaton,Copeland,(265) 959-4324,copeland.eaton1644@google.ca,Calabria,42,nero,NatalE
Jane,Hendricks,1-369-368-3869,j_hendricks@aol.com,Molise,24,verde,Pasqua
Adrian,Pollard,1-734-715-4888,apollard@protonmail.com,Piemonte,29,viola,NatalE
Eve,Cherry,(926) 275-3134,eve_cherry@yahoo.edu,Emilia-Romagna,21,viola,Pasqua
Guy,Sandoval,(521) 869-4244,gsandoval2620@protonmail.couk,Toscana,32,verde,NatalE
Mufutau,Huber,(312) 190-1887,huber_mufutau8319@icloud.couk,Valle d'Aosta,29,giallo,Pasqua
Emerson,Stewart,(281) 714-9886,stewart_emerson1717@hotmail.ca,Veneto,30,grigio,capOdanno
Nevada,George,(787) 240-8648,nevada.george7035@protonmail.com,Emilia-Romagna,49,verde,Pasqua
Ainsley,Bernard,1-458-355-1474,bernard_ainsley@outlook.edu,Toscana,40,viola,pasqueTTa
Jermaine,Francis,1-218-472-8942,j_francis5573@google.net,Calabria,22,giallo,NatalE
Neve,Booth,1-278-321-3775,n_booth846@protonmail.edu,Lombardia,21,arancione,capOdanno
Rhona,Dominguez,(588) 448-0808,dominguez_rhona9661@yahoo.net,Emilia-Romagna,46,rosso,pasqueTTa
Aurora,Langley,1-929-444-5678,auroralangley8433@aol.org,Lombardia,39,verde,pasqueTTa
Dylan,Contreras,(678) 842-1318,contreras-dylan@hotmail.couk,Valle d'Aosta,21,marrone,Pasqua
Drake,Giles,1-246-469-5617,gilesdrake@protonmail.org,Liguria,24,arancione,capOdanno
Uta,Sweeney,1-219-813-8255,sweeney-uta4506@hotmail.edu,Basilicata,20,marrone,NatalE
Caesar,Horn,(447) 866-9567,hcaesar@icloud.couk,Puglia,24,rosso,Pasqua
Belle,Ballard,(541) 807-4633,bballard@protonmail.ca,Sicilia,34,nero,pasqueTTa
Katelyn,Ortiz,1-373-695-3514,k_ortiz@yahoo.org,Campania,36,arancione,Pasqua
Nadine,Romero,1-187-378-5421,nadine-romero5932@aol.org,Calabria,47,grigio,Pasqua
Luke,Jenkins,1-375-462-8916,jenkinsluke3015@hotmail.com,Friuli-Venezia Giulia,19,rosso,pasqueTTa
Josephine,Cline,(693) 605-4114,cline-josephine@yahoo.org,Emilia-Romagna,22,viola,capOdanno
Tamekah,Berger,(730) 767-6462,btamekah2312@outlook.org,Valle d'Aosta,23,marrone,capOdanno
Darius,Mcintosh,(958) 506-3231,dariusmcintosh6676@protonmail.ca,Sardegna,36,verde,pasqueTTa
Britanni,Perkins,1-115-420-7577,perkins.britanni7630@aol.couk,Calabria,46,verde,NatalE
Ulric,Cain,(985) 337-4589,ulriccain@aol.com,Molise,21,nero,capOdanno
Dieter,Tran,1-480-781-4590,d-tran3935@hotmail.ca,Toscana,41,verde,pasqueTTa
